Sample Number,Parameter Values,Tumor Reduction,Reason For Rejection,Rejection Category
124,"{""drug_diffusion"": 1.8936644315158874e-09, ""drug_efficacy"": 0.3092975686897942, ""drug_loading"": 0.3866245582970512, ""np_diffusion"": 7.886696154428898e-09, ""particle_size_nm"": 104.50887453633261, ""release_rate"": 0.017537231549357463, ""tumor_growth_rate"": 0.04980872277725114, ""uptake_rate"": 0.07435134759202457}",-1237.56549244,final tumor volume exceeds the initial tumor volume.,Treatment failure
125,"{""drug_diffusion"": 4.782004354703011e-09, ""drug_efficacy"": 0.5762695131409564, ""drug_loading"": 0.5032804185917383, ""np_diffusion"": 5.12458410498336e-09, ""particle_size_nm"": 106.15197433897326, ""release_rate"": 0.07105868844107649, ""tumor_growth_rate"": 0.04909203289685948, ""uptake_rate"": 0.05745368411549902}",-281.762962846,final tumor volume exceeds the initial tumor volume.,Treatment failure
128,"{""drug_diffusion"": 9.9157144424604e-09, ""drug_efficacy"": 0.31176428459305155, ""drug_loading"": 0.950596489374993, ""np_diffusion"": 8.796031481537921e-09, ""particle_size_nm"": 197.67809607844043, ""release_rate"": 0.06633587426718861, ""tumor_growth_rate"": 0.018783111577793596, ""uptake_rate"": 0.09096944974527685}",-24.9750953401,final tumor volume exceeds the initial tumor volume.,Treatment failure
129,"{""drug_diffusion"": 7.999697821859239e-09, ""drug_efficacy"": 0.8916310563450591, ""drug_loading"": 0.9910711188912178, ""np_diffusion"": 6.526857842864875e-09, ""particle_size_nm"": 35.1886035791843, ""release_rate"": 0.012464638386060099, ""tumor_growth_rate"": 0.048043388382729264, ""uptake_rate"": 0.098727503342354}",-630.814498474,final tumor volume exceeds the initial tumor volume.,Treatment failure
130,"{""drug_diffusion"": 9.851090283949464e-09, ""drug_efficacy"": 0.5065215815492434, ""drug_loading"": 0.9868503646687963, ""np_diffusion"": 5.558335268282667e-09, ""particle_size_nm"": 41.33700918063579, ""release_rate"": 0.061964823962296633, ""tumor_growth_rate"": 0.04069615133111569, ""uptake_rate"": 0.014941650049939612}",-203.172768348,final tumor volume exceeds the initial tumor volume.,Treatment failure
137,"{""drug_diffusion"": 7.151866553718334e-09, ""drug_efficacy"": 0.44504294275570855, ""drug_loading"": 0.20537151812515977, ""np_diffusion"": 5.162013218337118e-10, ""particle_size_nm"": 160.32100040731112, ""release_rate"": 0.040806938815786266, ""tumor_growth_rate"": 0.04535328321769135, ""uptake_rate"": 0.01709890473076738}",-611.578223837,final tumor volume exceeds the initial tumor volume.,Treatment failure
139,"{""drug_diffusion"": 2.0503009758330653e-09, ""drug_efficacy"": 0.3605824468666674, ""drug_loading"": 0.7220176262529487, ""np_diffusion"": 9.41966203832265e-09, ""particle_size_nm"": 171.22658934514146, ""release_rate"": 0.16027007146245353, ""tumor_growth_rate"": 0.039653932922584734, ""uptake_rate"": 0.026659903247567715}",-284.308382293,final tumor volume exceeds the initial tumor volume.,Treatment failure
144,"{""drug_diffusion"": 1.1415632263305419e-10, ""drug_efficacy"": 0.5966348722741446, ""drug_loading"": 0.6092973476642711, ""np_diffusion"": 4.254829165401649e-09, ""particle_size_nm"": 198.85662156037546, ""release_rate"": 0.11175392508306664, ""tumor_growth_rate"": 0.04575443298714319, ""uptake_rate"": 0.026788029075558904}",-123.413904331,final tumor volume exceeds the initial tumor volume.,Treatment failure
145,"{""drug_diffusion"": 3.9366612876681875e-09, ""drug_efficacy"": 0.6842822945926945, ""drug_loading"": 0.39204774323178543, ""np_diffusion"": 1.6463678712284439e-10, ""particle_size_nm"": 198.24559065499068, ""release_rate"": 0.08214411318427413, ""tumor_growth_rate"": 0.047027617600611527, ""uptake_rate"": 0.08439423357924648}",-103.68514052,final tumor volume exceeds the initial tumor volume.,Treatment failure
147,"{""drug_diffusion"": 8.870140887106937e-09, ""drug_efficacy"": 0.5541199106489554, ""drug_loading"": 0.27644724371538465, ""np_diffusion"": 7.57179612150505e-09, ""particle_size_nm"": 55.39266897331622, ""release_rate"": 0.03342424714600742, ""tumor_growth_rate"": 0.02577905018045351, ""uptake_rate"": 0.059365122530847185}",-57.0269709907,final tumor volume exceeds the initial tumor volume.,Treatment failure
